country,gdesc,kdp_1mo,kdp_3mo,kdp_6mo,kdp_1yr,kdp_2yr,kdp_3yr,kdp_4yr,kdp_5yr,kdp_7yr,kdp_10yr,Cluster
FIN,Cons Disc,0.003179757795311091,0.00343999434625789,0.003844916064021641,0.0046108481514878265,0.005753037353471596,0.006406568223624887,0.00684562619927863,0.007134475247971145,0.007516410446348061,0.0077833504463480615,1
FIN,Cons Stap,0.001720650960334029,0.001882403350730689,0.0021557857411273486,0.002731794446764092,0.0037706869832985386,0.0044131412108559505,0.004883530229645094,0.005218985563674321,0.005697956565762004,0.006062384405010439,1
FIN,Energy,7.587845833333333e-4,8.970456666666667e-4,0.00111660325,0.0016328228333333335,0.00273341325,0.0035173761666666666,0.004135599416666667,0.00461217375,0.00530558025,0.005846933,1
FIN,Financials,0.0032389679042331716,0.0034177578695350447,0.0037392986328938236,0.004345520617626648,0.005258692297015961,0.0057724364538514926,0.0061293465163081194,0.006367895301873699,0.0067029502637057595,0.006945523560027758,1
FIN,Health Care,0.006451785372297841,0.0065942450120096046,0.00681071306645316,0.007251437910328264,0.0080574282786229,0.008578362770216175,0.00893184326661329,0.009162110064051241,0.0094541624979984,0.00960860196957566,1
FIN,Industrials,0.0036998500736683034,0.0040022002587835285,0.0044517337854174535,0.005262600402342274,0.006398167782395164,0.007026187693615414,0.0074330414809217985,0.007689737716282584,0.008017588534189648,0.00823446705515678,1
FIN,Info Tech,0.0024006455028571434,0.0026767485828571433,0.003069894614285714,0.0038209172742857144,0.0050282038685714285,0.0057929226857142855,0.006339951245714286,0.006729379568571428,0.007260118808571429,0.0076437230999999994,1
FIN,Materials,0.0021297042664266425,0.002350703915391539,0.0026900204410441044,0.0033789743564356435,0.004550499630963096,0.005267478667866787,0.005775490513051305,0.006129559936993699,0.006616237893789379,0.006973694509450945,1
FIN,Real Estate,0.0019684102124183007,0.0021448598529411763,0.0024340119117647056,0.003027195261437909,0.004072492630718954,0.004691870816993464,0.0051319428594771245,0.0054343776633986925,0.005860363545751634,0.006178981421568627,1
FIN,Utilities,0.0024935089999999997,0.0026836499166666664,0.0030025440000000002,0.003615896333333334,0.004588935166666666,0.005154233666666667,0.005553740916666667,0.005826631166666667,0.006211688333333334,0.00649804025,1
FRA,Communications,0.006921780892226148,0.007195226657243816,0.007599816826855125,0.008276338517667845,0.009102640250883393,0.009500983180212011,0.009712061298586571,0.009802733922261485,0.00988057270671378,0.009868373770318023,1
FRA,Cons Disc,0.01021837488199467,0.010558072923486865,0.01102306520365436,0.011632516584507042,0.012024270402550436,0.012079164821088695,0.012010178179482297,0.011872655081842407,0.011621390102778835,0.011329272048915113,2
FRA,Cons Stap,0.007439424736117485,0.007632814118861865,0.007949675608077097,0.008409238359339143,0.008842779580082605,0.008998779210647085,0.009059624020192749,0.009051956539697108,0.009022880793942175,0.008945211154199174,1
FRA,Energy,0.010429145995989306,0.010583155855614973,0.010868457459893049,0.011310014852941176,0.01170326479946524,0.011813945695187166,0.011804328736631016,0.011719154217914439,0.011545186176470589,0.011315009251336898,2
FRA,Financials,0.005401618724995651,0.00564581363889372,0.00604159187858758,0.006672189255522705,0.007400589794746916,0.007712513144894763,0.00788011156548965,0.007949640874934771,0.008028539286832491,0.008046057740476606,1
FRA,Health Care,0.006880108665984659,0.007113351998976977,0.007450150459335039,0.008072118497186696,0.009002486495140658,0.009538261364705891,0.009866204759079289,0.010055479210230174,0.010267388254731462,0.010346858342710995,1
FRA,Industrials,0.006688265843259235,0.0069499116463090736,0.007338349040285258,0.007967074089977998,0.008704053485319777,0.00905154897428116,0.009236481009786817,0.009314267684545938,0.009385507679993929,0.009377154019421897,1
FRA,Info Tech,0.005888742403511427,0.0062429074224307525,0.006724961216891176,0.007516799495232328,0.008492084881186622,0.008994186045860452,0.009284148406992584,0.00943920321931285,0.009606731884365066,0.009666680476767065,1
FRA,Materials,0.005044532146160963,0.005432617287234042,0.005977822328862164,0.006886898441258095,0.007990736487049028,0.00855594768038853,0.008887173397317299,0.009071424974560592,0.00927754172987974,0.009376150520351527,1
FRA,Real Estate,0.007162954398850392,0.007406668491138433,0.007759770097397413,0.008312188398531055,0.00895061105380808,0.009220537510777583,0.009343516482516365,0.009370382819734952,0.009372688510298578,0.009300536747565065,1
FRA,Utilities,0.004480745176701571,0.004699772506544503,0.005052564162303665,0.005715217787958114,0.006703213992146598,0.007232478920157069,0.00756636632853403,0.007764972414921465,0.008015925909685865,0.008163472833769633,1
GBR,Communications,0.0056226072308404726,0.0059154804213938416,0.006326627519101644,0.0070128087624450105,0.00789721968163927,0.00838106949525353,0.008681416752720538,0.008858462420699237,0.009071511025700394,0.009178117872192637,1
GBR,Cons Disc,0.007311878161841645,0.007500007957546465,0.007792581199860481,0.008277429262544222,0.008892840081718072,0.0092056879774777,0.00938205741990134,0.009462884367930639,0.00954556623698241,0.009543028817579353,1
GBR,Cons Stap,0.003876002181792834,0.0041390814930991225,0.004518387636971977,0.005183575913843581,0.006139513205074584,0.006699483488080302,0.007080729760211904,0.007333956445002091,0.007672676728007807,0.007897446900878295,1
GBR,Energy,0.010509904562022818,0.011006071965355881,0.011643864891224041,0.012590727302356131,0.013503160706017567,0.013891910637057713,0.014023082987439456,0.014013172228060094,0.013883319458172564,0.013636367832690255,2
